method,size,result_sorted,result_random,result_almost_sorted,result_reverse
shaker,20,0.000005977,0.000004770,0.000004965,0.000004371
merge,20,0.000090000,0.000095191,0.000088861,0.000089108
parallel_shaker,20,0.000210235,0.000202105,0.000205001,0.000212504
parallel_merge,20,0.000270995,0.000257816,0.000241491,0.000234891
shaker,100,0.000110475,0.000072713,0.000072841,0.000070373
merge,100,0.000538472,0.000591062,0.000596634,0.000559047
parallel_shaker,100,0.000331977,0.000339772,0.000326852,0.000331982
parallel_merge,100,0.000450834,0.000478770,0.000492472,0.000461579
shaker,10000,0.914405923,0.553721179,0.555572849,0.556304671
merge,10000,0.081164222,0.093273570,0.093220419,0.085529883
parallel_shaker,10000,0.037306260,0.026082841,0.026415856,0.025322301
parallel_merge,10000,0.035075964,0.037310356,0.037620132,0.034883257
shaker,100000,91.531244478,54.597984350,54.902465931,54.294846722
merge,100000,0.944875710,1.103766253,1.102969982,0.999086537
parallel_shaker,100000,1.248891041,0.691077411,0.694784448,0.730448565
parallel_merge,100000,0.264937235,0.286824063,0.288116673,0.267988115
merge,1000000,10.948339123,12.808117073,12.719506302,11.449274870
parallel_shaker,1000000,109.348796998,55.094928115,55.501275217,55.616544969
parallel_merge,1000000,2.811790708,3.089796374,3.084980970,2.813778656
