method,size,result_sorted,result_random,result_almost_sorted,result_reverse
shaker,20,0.000006066,0.000004968,0.000004715,0.000004495
insertion,20,0.000004792,0.000006027,0.000006395,0.000005917
squareroot,20,0.000011879,0.000009421,0.000009279,0.000009513
merge,20,0.000090163,0.000092454,0.000092518,0.000091597
quicksort,20,0.000021855,0.000029340,0.000030245,0.000025512
quicksort2,20,0.000025877,0.000032880,0.000033123,0.000029879
parallel_insertion,20,0.000203776,0.000193413,0.000186859,0.000216031
parallel_merge,20,0.000299095,0.000294349,0.000289519,0.000277514
sample_insertion,20,0.000246602,0.000223401,0.000233622,0.000226622
sample_merge,20,0.000323125,0.000323987,0.000292259,0.000296314
shaker,100,0.000112169,0.000074456,0.000076060,0.000069458
insertion,100,0.000091561,0.000099391,0.000103568,0.000090447
squareroot,100,0.000058635,0.000058428,0.000060820,0.000059014
merge,100,0.000558678,0.000610095,0.000604870,0.000576261
quicksort,100,0.000107145,0.000156272,0.000160561,0.000118297
quicksort2,100,0.000170433,0.000219167,0.000217543,0.000181763
parallel_insertion,100,0.000314713,0.000343701,0.000354196,0.000308741
parallel_merge,100,0.000485773,0.000495882,0.000515886,0.000466902
sample_insertion,100,0.000315680,0.000316943,0.000333019,0.000334450
sample_merge,100,0.000695113,0.000663830,0.000672756,0.000750150
shaker,10000,0.924546557,0.555193470,0.556510318,0.552489444
insertion,10000,0.753167939,0.768376683,0.768124139,0.670499124
squareroot,10000,0.032700057,0.033444397,0.033283900,0.038044357
merge,10000,0.080446436,0.093087559,0.093471859,0.084719658
quicksort,10000,0.011676932,0.016859320,0.016863796,0.011750650
quicksort2,10000,0.029286560,0.038102769,0.038284375,0.030777262
parallel_insertion,10000,0.034711388,0.035748027,0.034081807,0.031001538
parallel_merge,10000,0.037516636,0.042123134,0.038902217,0.037564023
sample_insertion,10000,0.056082531,0.049135930,0.050310810,0.052761019
sample_merge,10000,0.032607718,0.037623180,0.037183952,0.033839294
shaker,100000,89.731485856,54.554821485,54.573428986,54.384007504
insertion,100000,75.240065502,75.485086436,74.675845697,65.500496521
squareroot,100000,0.969929318,0.982800165,0.981734844,1.142192810
merge,100000,0.944474579,1.109752622,1.101911872,0.991661939
quicksort,100000,0.119944453,0.174401246,0.174497024,0.120916545
quicksort2,100000,0.359785435,0.467541800,0.466877634,0.371035612
parallel_insertion,100000,0.944772379,1.009304367,1.011470740,0.903509042
parallel_merge,100000,0.279569172,0.314819210,0.313769061,0.286780582
sample_insertion,100000,2.798496950,2.523425606,2.316947852,2.434135303
sample_merge,100000,0.249065535,0.281391670,0.283283496,0.264527212
merge,1000000,10.736910414,12.735585822,12.737017386,11.251250132
quicksort,1000000,1.232007280,1.804488269,1.805556105,1.240929066
quicksort2,1000000,4.230742466,5.456009698,5.624817490,4.339377521
parallel_insertion,1000000,77.067680399,81.641991786,80.558262626,72.072812373
parallel_merge,1000000,2.991216344,3.354572186,3.365960647,3.003294179
sample_insertion,1000000,193.499914736,174.455421949,207.785442560,241.984913426
sample_merge,1000000,2.845988908,2.834004426,2.846498541,2.852184775
