method,size,result_sorted,result_random,result_almost_sorted,result_reverse
shaker,20,0.000008174,0.000006394,0.000001422,0.000001423
insertion,20,0.000006922,0.000004955,0.000001244,0.000000888
squareroot,20,0.000012056,0.000007035,0.000002879,0.000002749
merge,20,0.000040235,0.000006536,0.000007200,0.000005992
quicksort,20,0.000020536,0.000008650,0.000003530,0.000003690
quicksort2,20,0.000011160,0.000001795,0.000002253,0.000001606
parallel_insertion,20,0.000154251,0.000069782,0.000034822,0.000041113
parallel_merge,20,0.000044199,0.000034822,0.000032453,0.000030613
sample_insertion,20,0.000101274,0.000058862,0.000049173,0.000042977
sample_merge,20,0.000046595,0.000042608,0.000062722,0.000044748
shaker,100,0.000044126,0.000012816,0.000004294,0.000004183
insertion,100,0.000003717,0.000003144,0.000003071,0.000001853
squareroot,100,0.000010608,0.000010165,0.000010292,0.000010084
merge,100,0.000008522,0.000010128,0.000009369,0.000006391
quicksort,100,0.000007208,0.000010718,0.000011339,0.000007413
quicksort2,100,0.000002472,0.000004425,0.000004434,0.000002623
parallel_insertion,100,0.000026962,0.000030975,0.000028269,0.000027135
parallel_merge,100,0.000029411,0.000029052,0.000036879,0.000037332
sample_insertion,100,0.000055111,0.000047333,0.000047891,0.000048584
sample_merge,100,0.000049384,0.000048909,0.000047147,0.000049720
shaker,10000,0.039797798,0.039942460,0.040238766,0.040262822
insertion,10000,0.026758648,0.019009703,0.020241236,0.012552020
squareroot,10000,0.003060015,0.002909223,0.002918501,0.002929326
merge,10000,0.000583065,0.001061421,0.001056842,0.000581275
quicksort,10000,0.000640944,0.000994456,0.000978005,0.000424352
quicksort2,10000,0.000645232,0.000700761,0.000674525,0.000262150
parallel_insertion,10000,0.001010174,0.000995043,0.000984527,0.000727320
parallel_merge,10000,0.000443552,0.000805925,0.000747556,0.000502988
sample_insertion,10000,0.002650009,0.001648199,0.001728826,0.001132636
sample_merge,10000,0.000533209,0.000799867,0.000711982,0.000511772
shaker,100000,4.015249295,3.993125721,4.011044505,4.049645044
insertion,100000,2.530637858,1.915209241,1.943367363,1.302109843
squareroot,100000,0.092708628,0.093587143,0.092868475,0.092086116
merge,100000,0.006209942,0.012832310,0.012795653,0.006322701
quicksort,100000,0.004411952,0.011363479,0.011416643,0.004550483
quicksort2,100000,0.002976430,0.008101536,0.009536618,0.004232005
parallel_insertion,100000,0.039906658,0.030448401,0.031131914,0.020677375
parallel_merge,100000,0.003401182,0.006469131,0.006611364,0.003501537
sample_insertion,100000,0.102067768,0.086131639,0.083068877,0.061601955
sample_merge,100000,0.004317956,0.006618525,0.006681205,0.004270946
merge,1000000,0.075560737,0.152148950,0.152097152,0.076835615
quicksort,1000000,0.046994609,0.127199412,0.126809697,0.048807091
quicksort2,1000000,0.049184302,0.105937724,0.107440167,0.048973630
parallel_insertion,1000000,3.803804310,2.830561342,2.638363320,1.840517173
parallel_merge,1000000,0.039553349,0.069895460,0.069525975,0.039181940
sample_insertion,1000000,11.643577863,7.927357427,5.642821577,4.560806809
sample_merge,1000000,0.047732339,0.074367731,0.071142829,0.049495672
